run_id,phase,source_log,elapsed_pre_sec,elapsed_pre_human,config_hash,seed,batch_scale,mixed_precision,num_workers,enable_torch_compile,lr_dialogpt,batch_rec,batch_gen,recall@1,recall@10,recall@50,ndcg@1,ndcg@10,ndcg@50,mrr@1,mrr@10,mrr@50,loss
2026-04-19_13-56-46,pre,2026-04-19-03-57-54.log,1612.871,00:26:52,f69871d6,42,1.0,bf16,16,True,0.0001,128,16,0.0347193347193347,0.1810810810810811,0.377962577962578,0.0347193347193347,0.0957567242723492,0.1388822369169048,0.0347193347193347,0.0700366299762051,0.0790930797553112,10.939580735407375
2026-04-19_16-14-36,pre,2026-04-19-14-13-14.log,2208.789,00:36:48,f69871d6,42,1.0,bf16,16,True,0.0001,128,16,0.0347193347193347,0.1858627858627858,0.3869022869022869,0.0347193347193347,0.0979562422341963,0.1421492927535408,0.0347193347193347,0.0714109995756724,0.0807791473959686,10.813360967134177
2026-04-19_21-15-18,pre,2026-04-19-17-27-55.log,2441.487,00:40:41,214b48a7,42,1.0,no,16,False,0.0001,128,16,0.03201663201663202,0.18461538461538463,0.3866943866943867,0.03201663201663202,0.096814275729681,0.1413254577256042,0.03201663201663202,0.07016895952442827,0.07964297352114735,10.768043160438538
